indice_tiempo,origen_visitantes,visitas,observaciones
2008-1-01,no residentes,198407,
2008-1-01,residentes,352303,
2008-1-01,total,550710,
2008-10-01,no residentes,94065,
2008-10-01,residentes,148815,
2008-10-01,total,242880,
2008-11-01,no residentes,133914,
2008-11-01,residentes,115953,
2008-11-01,total,249867,
2008-12-01,no residentes,121848,
2008-12-01,residentes,125093,
2008-12-01,total,246941,
2008-2-01,no residentes,151809,
2008-2-01,residentes,283145,
2008-2-01,total,434953,
2008-3-01,no residentes,148533,
2008-3-01,residentes,173134,
2008-3-01,total,321667,
2008-4-01,no residentes,68558,
2008-4-01,residentes,61539,
2008-4-01,total,130097,
2008-5-01,no residentes,43751,
2008-5-01,residentes,48787,
2008-5-01,total,92538,
2008-6-01,no residentes,30907,
2008-6-01,residentes,40502,
2008-6-01,total,71409,
2008-7-01,no residentes,60520,
2008-7-01,residentes,134956,
2008-7-01,total,195476,
2008-8-01,no residentes,63082,
2008-8-01,residentes,122110,
2008-8-01,total,185192,
2008-9-01,no residentes,64259,
2008-9-01,residentes,109376,
2008-9-01,total,173635,
2009-1-01,no residentes,122439,
2009-1-01,residentes,398025,
2009-1-01,total,520463,
2009-10-01,no residentes,77256,
2009-10-01,residentes,153989,
2009-10-01,total,231245,
2009-11-01,no residentes,119309,
2009-11-01,residentes,121505,
2009-11-01,total,240814,
2009-12-01,no residentes,118908,
2009-12-01,residentes,119031,
2009-12-01,total,237939,
2009-2-01,no residentes,113619,
2009-2-01,residentes,279218,
2009-2-01,total,392837,
2009-3-01,no residentes,91824,
2009-3-01,residentes,136672,
2009-3-01,total,228496,
2009-4-01,no residentes,64864,
2009-4-01,residentes,135248,
2009-4-01,total,200112,
2009-5-01,no residentes,31467,
2009-5-01,residentes,80374,
2009-5-01,total,111840,
2009-6-01,no residentes,24737,
2009-6-01,residentes,60586,
2009-6-01,total,85323,
2009-7-01,no residentes,39257,
2009-7-01,residentes,142354,
2009-7-01,total,181611,
2009-8-01,no residentes,40970,
2009-8-01,residentes,84314,
2009-8-01,total,125284,
2009-9-01,no residentes,44477,
2009-9-01,residentes,119199,
2009-9-01,total,163676,
2010-1-01,no residentes,147736,
2010-1-01,residentes,446127,
2010-1-01,total,593863,
2010-10-01,no residentes,79844,
2010-10-01,residentes,192960,
2010-10-01,total,272804,
2010-11-01,no residentes,116621,
2010-11-01,residentes,161733,
2010-11-01,total,278354,
2010-12-01,no residentes,118075,
2010-12-01,residentes,129126,
2010-12-01,total,247201,
2010-2-01,no residentes,136069,
2010-2-01,residentes,288292,
